Dénomination,Raison Sociale,Responsable,Secteur,Activités,Produits,Adresse usine,District,Gouvernorat,Délégation,Téléphone siège/usine,Fax siège/usine,E-mail,URL,Régime,"Pays du Participant 
    Etranger",Entrée en production,Capital en DT,Emploi,Banque_Tunisienne_Associée
HF,STE LES CARRIERES DU SUD HAMDI FRERES,Sadok Hamdi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Graviers - Sables de concassage - Sables de carrière.,CARRIERE DJEBEL DISSA - 6031 - BOUCHEMA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes ouest,(216) - 75 275 146 / 75 350 910,(216) - 75 274 952 / 75 274 907,cs.hamdifr@planet.tn,http://www.hamdi-freres.com,Non totalement exportatrice,,02/06/1978,8 000 000,68.0,Amen Bank
IDEAL BRIQUE,IDEAL BRIQUE,Farhat Bayoudh,Industries des matériaux de construction céramique et verre,Briques et hourdis.,Briques creuses ou perforées - Hourdis.,RTE DE MAHDIA - 5014 - BENI HASSEN,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Beni hassen,(216) - 73 491 482,(216) - 73 491 555,ideal.brique@topnet.tn,,Non totalement exportatrice,,16/06/2010,18 650 000,352.0,Banque Zitouna
IDEAL SANITAIRE,IDEAL SANITAIRE,Kamel Mansour,Industries des matériaux de construction céramique et verre,"Articles ménagers en porcelaine, faïence et grès - Articles sanitaires en céramique.",Lavabos - Bidets - Cuvettes - Autres articles céramiques.,Z.I. CHEBEDDA - 1135 - NAASSEN,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 71 398 114,(216) - 71 398 285,ideal.sanitaire@planet.tn,http://www.ideal-sanitaire.com,Non totalement exportatrice,,05/01/1996,21 560 000,270.0,Attijari Bank
IMCB,IDEAL MARBRE DU CAP BON,Faouzi Sassi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,"BLD DE L'ENVIRONNEMENT, Z.I. - 8011 - DAR CHAABANE","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Dar chaabane e.fehri,(216) - 94 008 125 / 72 362 504,(216) - 72 363 771,imcb@topnet.tn,,Non totalement exportatrice,,01/10/1999,1 790 000,12.0,Banque de l'habitat
IMM,INDUSTRIES MAGHREBINES DU MARBRE,Borhen Trifi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre - Granits.,"GP1 KM 6,5 Z.I. - 2013 - BEN AROUS","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Ben arous,(216) - 71 384 813 / 71 384 786,(216) - 71 383 990,contact@imm-marbre.com,http://www.imm-marbre.com.tn,Non totalement exportatrice,,01/01/1983,1 950 000,22.0,Attijari Bank
IMM CARRIERES,IMM CARRIERES,Ahmed Trifi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RTE DE ROUHIA - 7160 - LE KSOUR,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Le kef,El ksour,(216) - 71 384 786,(216) - 71 383 990 / 71 389 990,,,Non totalement exportatrice,,01/02/1999,1 105 000,11.0,Attijari Bank
INTER MARBRE,STE INTER MARBRE,Abdennaceur Sghairi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,"RUE DE ZAGHOUAN, LOT N° A26, Z.I. M'GHIRA III - 2082 - FOUCHANA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Fouchana,(216) - 50 509 040 / 71 409 863,(216) - 71 409 863,inter_marbre@yahoo.com,,Non totalement exportatrice,,30/03/2013,15 000,12.0,Banque de Tunisie
ITB (MEDJEZ EL BAB),STE LES INDUSTRIES TUILES ET BETON,Tahar Abbou,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,"Tuiles, dalles et blocs en béton - Bordures de trottoir - Treillis.",Z.I. - 9070 - MEDJEZ EL BAB,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Mjaz el bab,(216) - 78 560 288,(216) - 78 560 559,,,Non totalement exportatrice,,01/01/1993,1 050 000,12.0,Banque nationale agricole
KAOUECH BETON,STE KAOUECH BETON,Monem Kaouech,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi - Autres ouvrages en béton ou en plâtre.,Béton prêt à l'emploi - Autres ouvrages en béton ou en plâtre.,Z.I. RTE DE BEN GUERDANE - 4100 - MEDENINE,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Medenine sud,(216) - 75 624 820,(216) - 75 624 818,kaouach.skb@gmail.com,,Non totalement exportatrice,,01/08/2008,660 000,18.0,Union internationale de banques
KNAUF PLATRES SA,KNAUF PLATRES SA,Soufien Ben Salah,Industries des matériaux de construction céramique et verre,Plâtre.,Plâtre.,MEKNASSY - 9140 - MEKNASSY,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sidi Bouzid,Meknassy,(216) - 71 409 444 / 29 462 766,(216) - 79 408 599 / 76 645 239,,,Non totalement exportatrice,Allemagne,27/06/1980,6 651 020,85.0,Banque de l'habitat
LA BRIQUE TNNE,STE LA BRIQUE TNNE,Mounir Ben Slimene,Industries des matériaux de construction céramique et verre,Briques et hourdis.,Autres produits en terre cuite - Hourdis.,Z.I. - 8000 - NABEUL,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Nabeul,(216) - 72 286 718,(216) - 72 285 704,labriquetnne.direction@planet.tn,,Non totalement exportatrice,Libye,10/03/1979,12 800 000,208.0,Arab Tunisian Bank
LA LIBERTE DE MARBRE,STE LA LIBERTE DE MARBRE,Zouhair Ben Brahim,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,BENI HAZEM - 6140 - MAKTHAR,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Siliana,Makthar,(216) - 78 826 023 / 97 277 462,(216) - 78 826 024,marbremaktharis.society@gmail.com,http://www.marbremaktharis.com,Non totalement exportatrice,,28/10/2012,285 000,10.0,Banque Zitouna
L'ABRASIF INDUSTRIEL,STE L'ABRASIF INDUSTRIEL,Raouf Ben Bouzid,Industries des matériaux de construction céramique et verre,Produits abrasifs.,Autres produits abrasifs.,AVE MAGHREB ARABE - 4010 - BOUFICHA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Bouficha,(216) - 71 409 399 / 73 252 026,(216) - 71 382 439 / 73 252 026,abrasifcom2@gmail.com,,Non totalement exportatrice,,15/04/1981,544 000,16.0,Attijari Bank
LACERAMIC (LA PECHERIE),LACERAMIC SA (LES REFRACTAIRES DE TUNISIE),Salah Eddine Ben Amor,Industries des matériaux de construction céramique et verre,Produits réfractaires.,Briques réfractaires.,7011 - LA PECHERIE,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Bizerte sud,(216) - 98 461 783 / 72 510 069,(216) - 79 307 817 / 72 510 070,miaadi.bouali@laceramic.com.tn,,Non totalement exportatrice,,01/09/1973,5 500,27.0,Banque de l'habitat
L'ART DU BETON GAFSA,L'ART DU BETON GAFSA,Issam Hfaiedh,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,"Tuiles, dalles et blocs en béton - Autres articles en béton.","RTE DE TOZEUR KM 7, Z.I. II, AGUILA - 2100 - GAFSA","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Gafsa,Gafsa sud,(216) - 76 210 041,,,,Non totalement exportatrice,,22/03/2017,2 950 000,22.0,Banque de Tunisie
LE ROI DU BETON,STE LE ROI DU BETON,Oussama Hamila,Industries des matériaux de construction céramique et verre,Béton prêt à l'emploi.,Béton prêt à l'emploi.,"Z.I. KM 129, RTE DE SIDI BOUALI - 4022 - AKOUDA","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Akouda,(216) - 27 000 060 / 73 248 879,(216) - 73 248 878,roidubeton@yahoo.fr,,Non totalement exportatrice,,27/12/2010,2 400 000,25.0,Banque Zitouna
LE SCULPTEUR,STE LA PIERRE RECONSTITUEE,Lotfi Mehrez,Industries des matériaux de construction céramique et verre,Travail de la pierre.,"Ouvrages en pierre, sculptés, taillés.",OUED EL KABIR - 8011 - DAR CHAABANE,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Dar chaabane e.fehri,(216) - 24 362 274,(216) - 72 362 274,anis.hamdoun@gmail.com,http://www.le-sculpteur.net,Non totalement exportatrice,,23/07/2007,12 000,10.0,Amen Bank
LES CARRIERES EL KHIR & BARAKA,STE LES CARRIERES EL KHIR & BARAKA,Mondher Dafdouf,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Pierres de construction - Graviers - Sables de carrière.,RTE KORBA - 8080 - MENZEL TEMIME,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Menzel temime,(216) - 55 052 327,,,,Non totalement exportatrice,,02/01/2017,845 000,14.0,Banque de l'habitat
LES CIMENTS DE BIZERTE,LES CIMENTS DE BIZERTE,Chedli Saidani,Industries des matériaux de construction céramique et verre,Ciment - Chaux.,Ciment gris ou ordinaire - Autres ciments - Chaux hydraulique artificielle.,BAIE DE SABRA BP N° 53 - 7018 - BIZERTE,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Bizerte,Bizerte sud,(216) - 72 510 444,(216) - 72 510 002,boc@scb.ind.tn,http://www.lescimentsdebizerte.ind.tn,Non totalement exportatrice,,01/01/1953,44 047 290,370.0,Amen Bank
LES NOUVELLES CARRIERES,LES NOUVELLES CARRIERES,Sadok Hamdi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Graviers - Sables de concassage.,RTE DE GAFSA ZOGRATA - 6030 - MENZEL EL HABIB,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Menzel el habib,(216) - 75 270 638 / 25 390 430,(216) - 75 274 952,cs.hamdifr@planet.tn,http://www.hamdi-freres.com,Non totalement exportatrice,,01/04/2001,1 640 000,48.0,Banque internationale arabe de Tunisie
LES NOUVELLES PAVEES DU SUD,BEL MABROUK ABDALLAH,Abdallah Bel Mabrouk,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Bordures de trottoir.,RTE DE GABES KM 11 - 4200 - KEBILI,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Kebili,Kebili nord,(216) - 75 490 206,,,,Non totalement exportatrice,,18/04/2008,-,10.0,Banque de l'habitat
L'ESSOR,STE LES CARRIERES  L'ESSOR,Nouri Chaabane,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Graviers - Sables de concassage - Marbre.,1141 - BIR M'CHERGA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Zaghouan,Bir Mcherga,(216) - 20 399 525,(216) - 74 468 210,ka.tahio89@gmail.com,,Non totalement exportatrice,,30/09/1987,250 000,11.0,Banque de Tunisie
MAG FILS,MAG FILS,Mohamed Habib Megdiche,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,"RTE DE MAHDIA KM 3,5 - 3011 - SAKIET EDDAIER","Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sakiet eddaier,(216) - 74 432 892 / 21 410 348,(216) - 74 432 331,magfils@tunet.tn,http://www.magfils.com,Non totalement exportatrice,,02/01/1987,300 000,10.0,Union internationale de banques
MAGHREB BETON,STE MAGHREB BETON,Jamel Omrani,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Eléments de voirie ou d'assainissement en béton.,Z.I. - 7100 - LE KEF,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Le kef,Le kef est,(216) - 97 457 794,,,,Non totalement exportatrice,,28/02/2010,385 000,10.0,Banque de Tunisie
MANSOUR HAFIANE,EL HAFYEN DE MARBRE,Mansour Hafiane,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,Z.I. - 7121 - BARNOUSSA,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Le kef,Le kef ouest,(216) - 97 109 865,,,,Non totalement exportatrice,,05/03/2007,-,10.0,Banque internationale arabe de Tunisie
MARBERIE BENNOUR,STE MARBERIE BENNOUR,Mohamed Habib Bennour,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,AIN TOUNGA - 9060 - TESTOUR,"Premier district : Bizerte, Béja, Jendouba et Le Kef",Beja,Testour,(216) - 71 808 333 / 98 334 677,(216) - 70 808 335,servicecommercial@marberiebennour.com,,Non totalement exportatrice,,09/10/2001,200 000,18.0,Banque nationale agricole
MARBRE BEN ATIG,MARBRE BEN ATIG,Habib Hajri,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,"KM 1,5  RTE EL AMRINE - 8010 - MENZEL BOUZELFA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Menzel bouzelfa,(216) - 98 226 688 / 72 292 696,(216) - 72 292 696,benatighabib@yahoo.fr,,Non totalement exportatrice,,01/01/2003,140 000,15.0,Attijari Bank
MARBRE CHAIEB,STE MARBRE CHAIEB,Dhraifa Ben Amara,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RAS EL OUED - 6140 - MAKTHAR,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Siliana,Makthar,(216) - 92 173 889,,,,Non totalement exportatrice,,01/07/2010,540 560,13.0,Amen Bank
MARBRE DU NORD,STE MARBRE DU NORD,Chaieb Ahmed,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,BENI HAZEM - 6140 - MAKTHAR,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Siliana,Makthar,(216) - 95 499 822,,,,Non totalement exportatrice,,02/07/2018,330 000,14.0,Amen Bank
MARBRE SANITAIRE,STE MARBRERIE BEN DHIAB SA,Mourad Ben Dhiab,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RUE TEXTILE Z.I. SIDI REZIG - 2033 - MEGRINE,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Megrine,(216) - 71 433 107,(216) - 71 433 633,marbrerie.bendhiab@mbd.tn,,Non totalement exportatrice,,01/10/1983,500 000,50.0,Union internationale de banques
MARBRERIE ASSIA,STE MARBRERIE ASSIA,Ahmed Abid,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre - Travail de la pierre.,Marbre - Plaques en marbre pour revêtement.,Z.I. - 8011 - DAR CHAABANE,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Dar chaabane e.fehri,(216) - 98 209 963 / 98 101 354,,contact@marberie-assia.com,http://www.marberie-essia.com,Non totalement exportatrice,,31/05/2020,200 000,50.0,Arab Tunisian Bank
MARBRERIE BAKIR,MARBRERIE BAKIR,Mourad Bakir,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre - Granits.,RTE DE TUNIS GP1 KM 13 BP 66 - 4022 - AKOUDA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Akouda,(216) - 73 248 417 / 73 248 588,(216) - 73 248 677,commercial.bakir@planet.tn,,Non totalement exportatrice,,01/01/1995,300 000,40.0,Société tunisienne de banque
MARBRERIE CHAABANE,MARBRERIE CHAABANE,Samir Ayadi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,"KM 5,5 RTE DE MEDNINE - 6032 - TEBOULBOU","Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,Gabes sud,(216) - 58 320 540 / 75 293 034,(216) - 75 293 180,chaabane.marberie@gmail.com,,Non totalement exportatrice,,29/01/1993,30 000,14.0,Banque internationale arabe de Tunisie
MARBRERIE EL ANDALOUS PLUS,MARBRERIE EL ANDALOUS PLUS,Raouf Letaief,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,Z.I - 4020 - KONDAR,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Kondar,(216) - 39 162 978,(216) - 73 226 755,,,Non totalement exportatrice,,29/07/2003,1 000 000,14.0,Banque nationale agricole
MARBRERIE EL FARJI,MARBRERIE EL FARJI,Mohamed El Farji,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre - Granits.,RTE DE SOUSSE KM10 - 4070 - M'SAKEN,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Msaken,(216) - 73 284 686 / 31 122 464,(216) - 73 323 140,etsfarjietcie1@gmail.com,,Non totalement exportatrice,,09/09/1992,-,30.0,Banque internationale arabe de Tunisie
MARBRERIE JERIDI,STE MARBRERIE JERIDI,Ridha Jeridi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RTE MJEDZ EL BAB JAYARA - 2030 - SEJOUMI,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Tunis,Sijoumi,(216) - 71 559 704,,ste.marbrerie.jeridi@gmail.com,,Non totalement exportatrice,,02/01/1993,150 000,14.0,Banque internationale arabe de Tunisie
MARBRERIE KEMALI,MARBRERIE KEMALI,Noureddine El Atoui,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RUE D'ALGER - 4100 - MEDENINE,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Medenine nord,(216) - 75 630 252 / 99 061 338,(216) - 75 630 251,,,Non totalement exportatrice,,01/04/2003,-,10.0,Banque Zitouna
MARBRERIE LAZREG,MARBRERIE LAZREG,Brahim Lazreg,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre - Autres pierres et marbre.,Z.I. SIDI ABDELHAMID - 4002 - SOUSSE BOUHSINA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Sidi Abdelhamid,(216) - 73 322 445,(216) - 73 322 247,brahim.lazreg@planet.tn,http://www.marberie-lazreg.com,Non totalement exportatrice,,01/11/1997,650 000,17.0,Banque Zitouna
MARBRERIE MKHININI,STE MARBRERIE MKHININI,Riadh M'khinini,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RTE DE KAIROUAN - 4070 - M'SAKEN,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Msaken,(216) - 73 398 045 / 73 314 140,(216) - 73 398 045,riadh@groupemekinini.com,,Non totalement exportatrice,,21/01/2014,30 000,12.0,Banque Zitouna
MARBRERIE ROYALE,STE MARBRERIE ROYALE EL ABED KHALED,El Abed Khaled,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,AVE DE LA REPUBLIQUE - 8011 - DAR CHAABANE,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Dar chaabane e.fehri,(216) - 72 321 005,(216) - 72 321 062,elabed.marbrepierre@topnet.tn,,Non totalement exportatrice,,01/03/2002,300 000,61.0,Banque nationale agricole
MARBRERIE SAYADI ET CIE,MARBRERIE SAYADI ET FILS,Douki Faicel,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,"Z.I. SAHLINE,  RTE DE SOUSSE - 5000 - MONASTIR","Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Sahline,(216) - 73 525 238 / 53 607 660,(216) - 73 525 239,msayadifils@yahoo.fr,,Non totalement exportatrice,,01/10/2002,500 000,23.0,Arab Tunisian Bank
MARBRERIE TUNIS CARTHAGE,MARBRERIE TUNIS CARTHAGE,Imen Ben Abdelkader,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre - Granits.,"32, RUE DE L'ARTISANAT Z.I. ARIANA - 2036 - LA SOUKRA","Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ariana,La Soukra,(216) - 70 836 518,(216) - 70 836 516,contact@marbrerietuniscarthage.com,http://www.marbrerietuniscarthage.com,Non totalement exportatrice,,15/06/1990,4 200 000,110.0,Union internationale de banques
MARMOTECK,STE MARMOTECK,Soufiene Saadallah,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre - Granits.,Z.I. - 8024 - TAZARKA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Nabeul,Korba,(216) - 72 225 226,,juridique@cuisina.com,,Non totalement exportatrice,,28/01/2014,300 000,45.0,Banque nationale agricole
MASCO,STE MATERIAUX D'ASSAINISSEMENT ET DE CONSTRUCTION,Abderrazek Ben Ghali,Industries des matériaux de construction céramique et verre,Carreaux en ciment - Articles en ciment ou en béton (tuyaux et conduits).,Carreaux mosaïques - Carreaux marbrés - Bordures de trottoir - Autres articles en béton.,RTE DE M'SAKEN GP1 - 4013 - MESSADINE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Msaken,(216) - 73 323 456 / 73 323 122,(216) - 73 323 008,ste.masco@planet.tn,http://www.masco.tn,Non totalement exportatrice,,22/10/1979,180 000,20.0,Union internationale de banques
MASUD,MARBRERIE ET MATERIAUX DU SUD,Karim Belguith,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre - Granits.,RTE DE GABES KM 4 - 3052 - CITE EL HABIB,"Quatrième district : Gafsa, Sfax, Sidi Bouzid et Tozeur",Sfax,Sfax sud,(216) - 74 453 207 / 74 453 644,(216) - 74 453 976,info@masud.com.tn,http://www.masud.com.tn,Non totalement exportatrice,,01/01/1972,1 000 000,45.0,Banque internationale arabe de Tunisie
MB 3000,MANUFACTURE DES BRIQUES 3000,Mohamed Dawla,Industries des matériaux de construction céramique et verre,Briques et hourdis.,Briques creuses ou perforées.,RTE DE SFAX - 4015 - BORJINE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Msaken,(216) - 73 289 912,(216) - 73 289 913,mb3000@yahoo.com,,Non totalement exportatrice,,10/01/2014,3 200 000,203.0,Arab Tunisian Bank
MBS,MINERAUX BROYES DU SUD,Sadok Hamdi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Carbonate de calcium.,RTE D'EL HAMMA KM 25 - 6020 - EL HAMMA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Gabes,El hamma,(216) - 71 889 401 / 75 275 146,(216) - 71 887 477 / 75 274 952,,,Non totalement exportatrice,,01/08/2005,1 500 000,19.0,Banque nationale agricole
MBTM,MOHAMED BEN ETTOUMI (EX.MARBRERIE & BORDURES),Mohamed Ben Ettoumi,Industries des matériaux de construction céramique et verre,Articles en ciment ou en béton (tuyaux et conduits).,Bordures de trottoir - Eléments de voirie ou d'assainissement en béton - Autres articles en béton.,AVE DE L'ENVIRONNEMENT - 4013 - MESSADINE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Msaken,(216) - 73 284 253,(216) - 73 284 253,mbtm.tn@gmail.com,http://www.toumibeton.com,Non totalement exportatrice,,30/07/2013,-,25.0,Amen Bank
MDA,STE MDA SARL,Elena Antal Marinela,Industries des matériaux de construction céramique et verre,Produits abrasifs.,Disques abrasifs de découpage.,CITE EL FATH RTE DE ZERAMDINE - 5020 - JEMMEL,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Monastir,Jammel,(216) - 73 590 885,(216) - 73 590 886,contact@mdasarl.com,,Totalement exportatrice,Italie,30/04/2004,10 000,12.0,Banque Zitouna
MDO,MARBRERIE DESIGN ET OBJETS,Mahmoud Goobaa,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,BIR EL KASSAA - 2013 - BEN AROUS,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ben Arous,Ben arous,(216) - 71 383 220 / 71 384 341,,,,Non totalement exportatrice,,02/01/2017,4 200 000,43.0,Banque Zitouna
MEDGYP,MEDITERRANEAN GYPSUM & PLASTER,Abdelrahmen Ben Rehomma,Industries des matériaux de construction céramique et verre,Plâtre.,Plâtre.,3243 - OUED EL GHAR,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Tataouine,Tataouine nord,(216) - 75 882 222,(216) - 75 882 223,contact.medgyp@gmail.com,,Non totalement exportatrice,,02/01/2010,3 640 000,95.0,Banque de Tunisie
MELLITA MARBRE,MELLITA MARBRE,Kabla Goel,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,RTE DE L'AEROPORT KM 6 - 4115 - MELLITA JERBA,"Cinquième district : Kébili, Médenine, Gabès et Tataouine",Medenine,Jerba houmt souk,(216) - 75 673 167,(216) - 75 673 167,mellitamarbre@yahoo.fr,,Non totalement exportatrice,,01/03/1999,50 000,12.0,Banque de l'habitat
MERVEILLE DU CENTRE,MERVEILLE DU CENTRE,Sonia Tlili,Industries des matériaux de construction céramique et verre,Carreaux en ciment.,Carreaux mosaïques.,Z.I. RTE DE THALA - 1200 - KASSERINE,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kasserine,Kasserine nord,(216) - 23 504 376,,,,Non totalement exportatrice,,01/10/2014,991 500,17.0,Société tunisienne de banque
MIT,MINERALI INDUSTRIALI TUNISIA,Ogginio Silyer,Industries des matériaux de construction céramique et verre,Extraction et transformation de sable et granulat.,Sables industriels.,EL MARGUEB - 3120 - OUESLATIA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Kairouan,El ouaslatia,(216) - 23 225 165,,ccaltran@min.it,,Totalement exportatrice,Italie,29/04/2006,4 250 000,60.0,Banque de Tunisie
MJM,STE MARBRERIE JEDIDI DE MAHDIA,Moncef Jedidi,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre.,Z.I. - 5100 - MAHDIA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Mahdia,Mahdia,(216) - 24 720 408 / 73 687 206,(216) - 71 800 240 / 73 687 207,,,Non totalement exportatrice,,09/03/1998,311 000,15.0,Banque de Tunisie
MMXV MANUFACTURING,MMXV MANUFACTURING,Payre Jean Sebastien Louis,Industries des matériaux de construction céramique et verre,Autres ouvrages en béton ou en plâtre.,Eléments décoratifs.,RUE 1383 - 4022 - AKOUDA,"Troisième district : Kairouan, Kasserine, Mahdia, Monastir, Sousse et Siliana",Sousse,Akouda,(216) - 73 228 727,,,,Totalement exportatrice,France,10/07/2019,50 000,10.0,Société tunisienne de banque
M'NIHLA MARBRE,STE M'NIHLA MARBRE,Ouardi Nouisri,Industries des matériaux de construction céramique et verre,Extraction et transformation de pierres et marbre.,Marbre - Granits.,RTE DE CHINOISE - 2094 - M'NIHLA,"Deuxième district : Ariana, Ben Arous, Manouba, Nabeul, Tunis et Zaghouan",Ariana,El mnihla,(216) - 98 266 404 / 29 791 329,(216) - 70 563 186,sondesfathalli@yahoo.fr,,Non totalement exportatrice,,01/06/2004,1 527 000,90.0,Banque de l'habitat
